id	group	initial_state	title	user_message	expected_intent	expected_slots	expected_bot_action	expected_message_snapshot_key	tags	notes
g10_05	10	post-results	followup 14 nights	Турция 7 ночей до 120к всё включено	refine	{"nights":true}	run_refine_search	g10_05	followup|nights	
g10_06	10	post-results	followup to 250k	Турция 7 ночей до 120к всё включено	refine	{"budget":true}	run_refine_search	g10_06	followup|budget	
g10_07	10	post-results	followup Seychelles country switch	Турция 7 ночей до 120к всё включено	refine	{"country":"switch"}	reply	g10_07	followup|country-switch	
g10_08	10	post-results	followup 10 nights + Seychelles	Турция 7 ночей до 120к всё включено	refine	{"country":"switch"}	reply	g10_08	followup|country-switch|required	
g10_09	10	post-results	followup breakfasts	Турция 7 ночей до 120к всё включено	refine	{"meal":true}	run_refine_search	g10_09	followup|meal	
g10_10	10	post-results	followup next month	Турция 7 ночей до 120к всё включено	refine	{"month":true}	run_refine_search	g10_10	followup|period	
g11_01	11	empty	show more after one-shot	Турция 7 ночей до 120к	show_more	{}	reply	g11_01	buttons|pagination	
g11_02	11	empty	filters menu opens	Турция 7 ночей до 120к	change_filters	{}	reply	g11_02	buttons|filters	
g11_03	11	empty	filter back to results	Турция 7 ночей до 120к	change_filters	{}	reply	g11_03	buttons|filters	
g11_04	11	empty	new search resets once	Турция 7 ночей до 120к	new_search	{}	reply	g11_04	buttons|new	
g11_05	11	empty	change budget filter reruns	Турция 7 ночей до 120к	change_filters	{}	run_search	g11_05	buttons|filters	
g12_01	12	empty	double tap heart dedupe	Турция 7 ночей до 120к	select_tour	{}	reply	g12_01	dedupe|heart|required	
g12_02	12	post-results	rapid refine messages no duplicate stale cards	Турция 7 ночей до 120к всё включено	refine	{}	run_refine_search	g12_02	race|followup	
g12_03	12	empty	callback ack country	/start	search	{}	ask_missing	g12_03	callback-ack	
g12_04	12	empty	callback ack more	Турция 7 ночей до 120к	show_more	{}	reply	g12_04	callback-ack|pagination	
g13_01	13	empty	invalid nights out of range	Турция	search	{}	reply	g13_01	validation	
g13_02	13	mid-flow/guided	invalid budget negative	/start	search	{}	reply	g13_02	validation|guided	
g14_01	14	empty	country keyboard compact 2x3	/start	search	{}	reply	g14_01	keyboard|countries|required	
g14_02	14	empty	ai nights budget keyboards compact	хочу в Турцию	search	{}	ask_missing	g14_02	keyboard|ai	
